branch	tip	tag	ahead	last_commit	merged_into_main	recut_group	round
ag-ancestry-gate-r1-1565	e7f6209	[CODER]	1	2026-08-03	no	ag-ancestry-gate	1
ag-ancestry-gate-r2-1579	6bc87a4	[CODER]	3	2026-08-03	no	ag-ancestry-gate	2
ag-ancestry-gate-r3-1581	6e23963	[CODER]	5	2026-08-03	no	ag-ancestry-gate	3
ag-ancestry-gate-r4-1581	50f4b34	[CODER]	7	2026-08-03	no	ag-ancestry-gate	4
ag-archive-recovery	17d0f88	[CODER]	1	2026-08-01	no	ag-archive-recovery	0
ag-audit-hr1275-ci-parity	a277787	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-ci-parity	0
ag-audit-hr1275-clone	8b076f9	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-clone	0
ag-audit-hr1275-external-network	f7da47e	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-external-network	0
ag-audit-hr1275-false-green	0eb220b	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-false-green	0
ag-audit-hr1275-inventory	8456bb5	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-inventory	0
ag-audit-hr1275-isolation-r2	0b930d2	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-isolation-	2
ag-audit-hr1275-landing-rollback	b628dc9	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-landing-rollback	0
ag-audit-hr1275-launcher-red	40afaa4	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-launcher-red	0
ag-audit-hr1275-shell	522f6aa	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-shell	0
ag-audit-hr1275-suite-manifest	b4ad79b	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-suite-manifest	0
ag-audit-hr1275-suite-runtime	96459b7	[REVIEW]	1	2026-08-02	no	ag-audit-hr1275-suite-runtime	0
ag-audit-hr1295-arch	a915240	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-arch	0
ag-audit-hr1295-budget	24e0636	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-budget	0
ag-audit-hr1295-command-boundary	49b762b	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-command-boundary	0
ag-audit-hr1295-envelope-cursor	0a8d196	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-envelope-cursor	0
ag-audit-hr1295-fence	d3f6ecb	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-fence	0
ag-audit-hr1295-generation-fence	e200a1f	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-generation-fence	0
ag-audit-hr1295-legacy	8627380	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-legacy	0
ag-audit-hr1295-provider-symmetry	5ba6a5e	[REVIEW]	2	2026-08-02	no	ag-audit-hr1295-provider-symmetry	0
ag-audit-hr1295-state-db-path	aaacb82	[REVIEW]	1	2026-08-02	no	ag-audit-hr1295-state-db-path	0
ag-branch-hygiene-audit	1787a67	[CODER]	1	2026-08-01	no	ag-branch-hygiene-audit	0
ag-capture-telegram-report-format	5abd296	[ORCH]	1	2026-08-01	no	ag-capture-telegram-report-format	0
ag-checkpoint-baseline-interface-probe-1581	a5a51f8	[REVIEW]	1	2026-08-03	no	ag-checkpoint-baseline-interface-probe	0
ag-checkpoint-design-r10-recut-1581	de8c2df	[CODER]	10	2026-08-03	no	ag-checkpoint-design-recut	10
ag-checkpoint-design-r9-recut-1581	c34259b	[CODER]	10	2026-08-03	no	ag-checkpoint-design-recut	9
ag-checkpoint-manual-orchestration-1577	5523ef8	[CODER]	1	2026-08-03	no	ag-checkpoint-manual-orchestration	0
ag-checkpoint-reconciliation-design-1581	07453da	[CODER]	1	2026-08-03	no	ag-checkpoint-reconciliation-design	0
ag-checkpoint-reconciliation-design-r2-1581	95f9baa	[CODER]	2	2026-08-03	no	ag-checkpoint-reconciliation-design	2
ag-checkpoint-reconciliation-design-r3-1581	0baf0e2	[CODER]	3	2026-08-03	no	ag-checkpoint-reconciliation-design	3
ag-checkpoint-reconciliation-design-r4-1581	35711ad	[CODER]	4	2026-08-03	no	ag-checkpoint-reconciliation-design	4
ag-checkpoint-reconciliation-design-r5-1581	b1fe695	[CODER]	5	2026-08-03	no	ag-checkpoint-reconciliation-design	5
ag-checkpoint-reconciliation-design-r6-1581	0f8fcaa	[CODER]	6	2026-08-03	no	ag-checkpoint-reconciliation-design	6
ag-checkpoint-reconciliation-design-r7-recut-1581	69e030f	[CODER]	8	2026-08-03	no	ag-checkpoint-reconciliation-design-recut	7
ag-checkpoint-reconciliation-design-r8-recut-1581	e2c47d9	[CODER]	9	2026-08-03	no	ag-checkpoint-reconciliation-design-recut	8
ag-claude-lane-routing-architecture-1563	58ffd05	[CODER]	0	2026-08-02	yes	ag-claude-lane-routing-architecture	0
ag-codex-appserver-design-1533	a8b58cd	[REVIEW]	7	2026-08-02	no	ag-codex-appserver-design	0
ag-codex-appserver-design-r2-1533	ee1c62f	[REVIEW]	9	2026-08-02	no	ag-codex-appserver-design	2
ag-codex-appserver-design-r3-1537	1b4813a	[REVIEW]	11	2026-08-02	no	ag-codex-appserver-design	3
ag-codex-appserver-design-r4-1544	3656624	[REVIEW]	13	2026-08-02	no	ag-codex-appserver-design	4
ag-codex-appserver-foundation-r1-1533	a8b58cd	[REVIEW]	7	2026-08-02	no	ag-codex-appserver-foundation	1
