archive_ref	tip_sha
refs/archive/2026-08-03/ag-ancestry-gate-r1-1565	e7f6209c865c93def805643682b644a614b8aca8
refs/archive/2026-08-03/ag-ancestry-gate-r2-1579	6bc87a490ce027e7a66d277184712331014d3d41
refs/archive/2026-08-03/ag-ancestry-gate-r3-1581	6e2396394942735160f78cdb8aaa968cbe53dcbb
refs/archive/2026-08-03/ag-checkpoint-design-r9-recut-1581	c34259b3aef6cc54d044182a62adffa0d74a0fc4
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-1581	07453daa302cb23f4e973d78f877d067df7b4e8d
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-r2-1581	95f9baab2a6ec3243ed17a540c1788bca5bf0df3
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-r3-1581	0baf0e251cdeda627cd23c5ecff441bccba81cb9
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-r4-1581	35711ad439960434bbd454b75f0d16052165bbb3
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-r5-1581	b1fe695535f0e2fb99a8bbb210ed1ea464b1d252
refs/archive/2026-08-03/ag-checkpoint-reconciliation-design-r7-recut-1581	69e030fd07387d500ae5a3d23e977f949ac906ac
refs/archive/2026-08-03/ag-codex-appserver-design-1533	a8b58cd9e91f040274bd1e5efb07e5085ddd06cd
refs/archive/2026-08-03/ag-codex-appserver-design-r2-1533	ee1c62f4a4fc76c01c1e5a5c823c444f1a81cd7d
refs/archive/2026-08-03/ag-codex-appserver-design-r3-1537	1b4813a739c696a7419ea5bf06f6795a68ad3181
refs/archive/2026-08-03/ag-daemon-media-r14-deps-verify-1581	8d843c36f8722550256bce7d242493d8b1eedee8
refs/archive/2026-08-03/ag-daily-sprint-close-1578	4cd680b79106aa020519567bca5ff0269c2e11be
refs/archive/2026-08-03/ag-daily-sprint-close-r2-1581	2d5136ddd64ddecb2001a811799b03e30f214592
refs/archive/2026-08-03/ag-daily-sprint-close-r3-1581	80e65e11b79e0fc7fc2152f7ff0515a0392614d4
refs/archive/2026-08-03/ag-daily-sprint-close-r7-impl-1581	8c1c3f8be8a07dd3c19ca6588b3868014cfd47c9
refs/archive/2026-08-03/ag-database-internal-net-r2-1533	89ee9da55545dc43abedf008b6174edc136b99ad
refs/archive/2026-08-03/ag-database-readiness-timeout-r1-1581	88346fefb1e6f99be40d890f78fefca31a13582b
refs/archive/2026-08-03/ag-generator-buildkit-policy-arm-r1-1551	fbd9b2320f4cb45eab7ac4699a033517731d2202
refs/archive/2026-08-03/ag-generator-image-proposal-r2-1544	dcd216d3a66fedece5a90cf62864305bc0aa7488
