# item-id	stable-branch-root
V3-3.4	ag-s5-6
V3-0.16	ag-s5-9
V3-1.9	ag-s8-3
V3-0.21	ag-s8-1
V3-3.6	ag-s8-5
V3-2.7	ag-s5-11
V3-0.25	ag-s8-26
V3-0.26	ag-s9-5
V3-2.1	ag-s9-6
V3-0.27	ag-s9-16
V3-0.28	ag-s11-2
V3-0.29	ag-s10-1
V3-0.15	ag-s10-2
V3-0.20	ag-s10-3
V3-4.1	ag-s10-5
V3-0.30	ag-s10-6
V3-1.9a	ag-s10-7
V3-0.23	ag-s10-8
V3-3.8	ag-s10-9
V3-0.40	ag-s11-1
V3-0.43	ag-s11-3
V3-2.9	ag-s11-4
V3-0.51	ag-s11-6
V3-0.44	ag-v3-0.44
V3-0.55	ag-s11-9
V3-2.11	ag-v3-2.11
V3-2.13	ag-v3-2.13
V3-2.12	ag-v3-2.12
V3-2.16	ag-v3-2.16
V3-3.10	ag-v3-3.10
V3-2.15	ag-v3-2.15
V3-2.17	ag-v3-2.17
V3-2.18	ag-v3-2.18
V3-5.1	ag-v3-3.1
V3-5.2	ag-v3-3.2
V3-5.13	ag-v3-5.13
V3-5.14	ag-v3-5.14
V3-0.37	ag-v3-0.37
V3-5.18	ag-v3-5.18
V3-5.9	ag-v3-5.9
V3-0.32	ag-v3-0.32
V3-5.19	ag-v3-5.19
